"work_year","experience_level","employment_type","job_title","salary","salary_currency","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
"2021","Mid-level/Intermediate","Part-time","Data Engineer",59000.00,"EUR",70329.00,"NL",100,"NL","Large Company"
"2021","Entry-level/Junior","Full-time","Research Scientist",100000.00,"USD",100000.00,"JE",0,"CN","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",112000.00,"USD",112000.00,"US",100,"US","Large Company"
"2020","Senior-level/Expert","Full-time","Machine Learning Engineer",150000.00,"USD",150000.00,"US",50,"US","Large Company"
"2021","Senior-level/Expert","Full-time","Data Scientist",180000.00,"TRY",21843.00,"TR",50,"TR","Large Company"
"2021","Senior-level/Expert","Full-time","AI Scientist",55000.00,"USD",55000.00,"ES",100,"ES","Large Company"
"2021","Entry-level/Junior","Full-time","Data Scientist",58000.00,"USD",58000.00,"US",50,"US","Large Company"
"2021","Entry-level/Junior","Full-time","Data Scientist",100000.00,"USD",100000.00,"US",100,"US","Medium Company"
"2021","Senior-level/Expert","Full-time","Data Scientist",65720.00,"EUR",78340.00,"FR",50,"FR","Medium Company"
"2021","Entry-level/Junior","Full-time","Machine Learning Engineer",85000.00,"USD",85000.00,"NL",100,"DE","Small Company"
"2021","Entry-level/Junior","Full-time","Data Science Consultant",65000.00,"EUR",77481.00,"DE",0,"DE","Large Company"
"2021","Senior-level/Expert","Contract","Staff Data Scientist",105000.00,"USD",105000.00,"US",100,"US","Medium Company"
"2020","Entry-level/Junior","Full-time","Data Analyst",72000.00,"USD",72000.00,"US",100,"US","Large Company"
"2021","Entry-level/Junior","Full-time","Data Engineer",55000.00,"EUR",65561.00,"DE",50,"DE","Medium Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",250000.00,"TRY",30337.00,"TR",100,"TR","Medium Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",111775.00,"USD",111775.00,"US",0,"US","Medium Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",93150.00,"USD",93150.00,"US",0,"US","Medium Company"
"2021","Senior-level/Expert","Full-time","Lead Data Engineer",160000.00,"USD",160000.00,"PR",50,"US","Small Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",21600.00,"EUR",25747.00,"RS",100,"DE","Small Company"
"2021","Senior-level/Expert","Full-time","Machine Learning Engineer",4900000.00,"INR",66442.00,"IN",0,"IN","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",1250000.00,"INR",16949.00,"IN",100,"IN","Small Company"
"2021","Senior-level/Expert","Full-time","Data Analyst",54000.00,"EUR",64369.00,"DE",50,"DE","Large Company"
"2020","Senior-level/Expert","Full-time","Lead Data Scientist",190000.00,"USD",190000.00,"US",100,"US","Small Company"
"2021","Executive-level/Director","Full-time","Director of Data Science",120000.00,"EUR",143043.00,"DE",0,"DE","Large Company"
"2021","Entry-level/Junior","Full-time","Big Data Engineer",1200000.00,"INR",16271.00,"IN",100,"IN","Large Company"
"2021","Senior-level/Expert","Full-time","Data Analyst",90000.00,"CAD",71968.00,"CA",100,"CA","Medium Company"
"2020","Mid-level/Intermediate","Full-time","Data Scientist",11000000.00,"HUF",35735.00,"HU",50,"HU","Large Company"
"2021","Senior-level/Expert","Full-time","Data Scientist",135000.00,"USD",135000.00,"US",0,"US","Large Company"
"2021","Entry-level/Junior","Full-time","Machine Learning Engineer",21000.00,"EUR",25032.00,"DE",50,"DE","Medium Company"
"2021","Senior-level/Expert","Full-time","Data Science Manager",4000000.00,"INR",54238.00,"IN",50,"US","Large Company"
"2021","Senior-level/Expert","Full-time","Machine Learning Engineer",1799997.00,"INR",24407.00,"IN",100,"IN","Large Company"
"2021","Entry-level/Junior","Full-time","BI Data Analyst",9272.00,"USD",9272.00,"KE",100,"KE","Small Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",147000.00,"USD",147000.00,"US",50,"US","Large Company"
"2021","Senior-level/Expert","Full-time","Research Scientist",120500.00,"CAD",96357.00,"CA",50,"CA","Large Company"
"2021","Senior-level/Expert","Full-time","Data Science Manager",174000.00,"USD",174000.00,"US",100,"US","Large Company"
"2020","Mid-level/Intermediate","Full-time","Business Data Analyst",135000.00,"USD",135000.00,"US",100,"US","Large Company"
"2021","Entry-level/Junior","Full-time","Machine Learning Engineer",21844.00,"USD",21844.00,"CO",50,"CO","Medium Company"
"2020","Senior-level/Expert","Full-time","Lead Data Engineer",125000.00,"USD",125000.00,"NZ",50,"NZ","Small Company"
"2020","Entry-level/Junior","Full-time","Data Scientist",45000.00,"EUR",51321.00,"FR",0,"FR","Small Company"
"2020","Mid-level/Intermediate","Full-time","Data Scientist",3000000.00,"INR",40481.00,"IN",0,"IN","Large Company"
"2021","Executive-level/Director","Full-time","Data Science Consultant",59000.00,"EUR",70329.00,"FR",100,"ES","Small Company"
"2021","Senior-level/Expert","Full-time","Data Analytics Engineer",50000.00,"USD",50000.00,"VN",100,"GB","Medium Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",4000.00,"USD",4000.00,"IR",100,"IR","Medium Company"
"2020","Entry-level/Junior","Full-time","Data Scientist",35000.00,"EUR",39916.00,"FR",0,"FR","Medium Company"
"2020","Mid-level/Intermediate","Full-time","Lead Data Analyst",87000.00,"USD",87000.00,"US",100,"US","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",150000.00,"USD",150000.00,"US",100,"US","Medium Company"
"2020","Mid-level/Intermediate","Full-time","Data Science Consultant",103000.00,"USD",103000.00,"US",100,"US","Large Company"
"2021","Senior-level/Expert","Full-time","Data Engineering Manager",153000.00,"USD",153000.00,"US",100,"US","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",90000.00,"USD",90000.00,"US",100,"US","Large Company"
"2021","Entry-level/Junior","Full-time","Data Analyst",90000.00,"USD",90000.00,"US",100,"US","Small Company"
"2021","Entry-level/Junior","Full-time","Data Analyst",60000.00,"USD",60000.00,"US",100,"US","Small Company"
"2021","Mid-level/Intermediate","Full-time","Data Scientist",50000.00,"USD",50000.00,"NG",100,"NG","Large Company"
"2021","Entry-level/Junior","Part-time","AI Scientist",12000.00,"USD",12000.00,"PK",100,"US","Medium Company"
"2021","Mid-level/Intermediate","Part-time","3D Computer Vision Researcher",400000.00,"INR",5423.00,"IN",50,"IN","Medium Company"
"2021","Mid-level/Intermediate","Contract","ML Engineer",270000.00,"USD",270000.00,"US",100,"US","Large Company"
"2021","Mid-level/Intermediate","Full-time","Applied Data Scientist",68000.00,"CAD",54376.00,"GB",50,"CA","Large Company"
"2021","Mid-level/Intermediate","Full-time","Data Engineer",22000.00,"EUR",26224.00,"RO",0,"US","Large Company"
"2021","Entry-level/Junior","Full-time","Data Science Consultant",54000.00,"EUR",64369.00,"DE",50,"DE","Large Company"
"2020","Senior-level/Expert","Full-time","Data Scientist",60000.00,"EUR",68428.00,"GR",100,"US","Large Company"
"2021","Executive-level/Director","Full-time","Head of Data Science",85000.00,"USD",85000.00,"RU",0,"RU","Medium Company"
"2021","Executive-level/Director","Full-time","Head of Data",230000.00,"USD",230000.00,"RU",50,"RU","Large Company"
"2021","Entry-level/Junior","Full-time","Machine Learning Engineer",125000.00,"USD",125000.00,"US",100,"US","Small Company"
"2021","Senior-level/Expert","Full-time","Data Analytics Manager",120000.00,"USD",120000.00,"US",100,"US","Medium Company"
"2020","Mid-level/Intermediate","Full-time","Research Scientist",450000.00,"USD",450000.00,"US",0,"US","Medium Company"
"2020","Mid-level/Intermediate","Full-time","Data Analyst",41000.00,"EUR",46759.00,"FR",50,"FR","Large Company"
"2020","Mid-level/Intermediate","Full-time","Data Engineer",65000.00,"EUR",74130.00,"AT",50,"AT","Large Company"
"2021","Senior-level/Expert","Full-time","Data Science Engineer",159500.00,"CAD",127543.00,"CA",50,"CA","Large Company"
